Industry,Employed (thousands),1-month net change (thousands),1-month percent change
Construction,"7,605",-29,-0.4
Manufacturing,"12,839",-18,-0.1
Wholesale trade,"5,936",1,0.0
Retail trade,"15,624",-46,-0.3
Transportation and warehousing,"5,672",-5,-0.1
Information,"2,899",2,0.1
Financial activities,"8,853",-1,0.0
Professional and business services,"21,507",-52,-0.2
Education and health services,"24,523",-76,-0.3
Leisure and hospitality,"16,393",-459,-2.7
Other services,"5,919",-24,-0.4
Government,"22,759",12,0.1
